scaling_technique,model,best_score_f1
none,knn,0.5135850514639724
none,dt,0.6196942463461131
none,gnbayes,0.5836310601805167
none,comnbayes,0.5117063510302471
minmax,knn,0.6140408016823335
minmax,dt,0.6233923191919531
minmax,gnbayes,0.6771375391447927
minmax,comnbayes,0.68128501441562
minmax,svc,0.6662163898688487
standard,knn,0.6126861859456374
standard,dt,0.6292176525979438
standard,gnbayes,0.6842895720187208
standard,svc,0.6863743869771822
quantile,knn,0.6094879187346465
quantile,dt,0.6130105308268409
quantile,gnbayes,0.6710919367858617
quantile,comnbayes,0.678321754490616
quantile,svc,0.691027706021362
5 bins,knn,0.623097010210241
5 bins,dt,0.6572036888275128
5 bins,gnbayes,0.6831352843685794
5 bins,comnbayes,0.690984135436646
5 bins,svc,0.6805605237211698
10 bins,knn,0.6089837254133569
10 bins,dt,0.6323877251087462
10 bins,gnbayes,0.6768596610557215
10 bins,comnbayes,0.6815585712578075
10 bins,svc,0.6646146064140447
20 bins,knn,0.5955751830656253
20 bins,dt,0.6175125205112663
20 bins,gnbayes,0.6699018165906953
20 bins,comnbayes,0.6716972648740078
20 bins,svc,0.6604205511048882
